"playercode","EventId","EventType","Surface","TotPrizeMoney","Same_Nationality","iscritto","ha_pts_def"
mv14,4787,"250",Hard,750000,0,0,1
mv14,341,"250",Hard,579320,0,0,1
mv14,328,"500",Hard,2385100,0,0,1
mv14,337,"500",Hard,2470310,0,0,1
mv14,7485,"250",Hard,690135,0,0,0
mv14,429,"250",Hard,690135,0,0,0
mv14,9410,"250",Hard,1036700,0,0,0
mv14,7581,"250",Hard,1171655,0,0,0
mv14,4713,"250",Hard,1000630,0,0,0
mv14,418,"500",Hard,2100230,0,0,0
mv14,319,"250",Clay,579320,0,0,0
mv14,439,"250",Clay,579320,0,0,0
mv14,6116,"250",Hard,756020,0,0,0
mv14,314,"250",Clay,579320,0,0,0
mv14,414,"500",Clay,1891995,0,0,0
mv14,315,"250",Grass,661585,0,0,0
mv14,316,"250",Clay,579320,0,0,0
mv14,500,"500",Grass,2255655,0,0,1
mv14,311,"500",Grass,2255655,0,0,1
mv14,495,"500",Hard,2941785,0,0,1
mv14,8996,"250",Clay,661585,0,1,1
mv14,807,"500",Hard,2206080,0,0,1
mv14,451,"250",Hard,1395875,0,0,0
mv14,6932,"500",Clay,2100230,0,1,0
mv14,7480,"250",Hard,915245,0,0,0
mv14,9158,"250",Clay,562345,0,0,0
mv14,424,"250",Hard,756020,0,0,0
mv14,496,"250",Hard,724015,0,0,0
mv14,301,"250",Hard,661585,0,0,0
mv14,8998,"250",Hard,661585,0,0,0
mw02,328,"500",Hard,2385100,0,0,0
mw02,337,"500",Hard,2470310,0,1,0
mw02,7485,"250",Hard,690135,0,0,0
mw02,429,"250",Hard,690135,0,1,0
mw02,9410,"250",Hard,1036700,0,0,0
mw02,329,"500",Hard,1818380,0,0,1
mw02,747,"500",Hard,3720165,0,1,1
mw02,7581,"250",Hard,1171655,0,0,1
mw02,4713,"250",Hard,1000630,0,1,1
mw02,6242,"250",Hard,779780,0,1,1
mw02,418,"500",Hard,2100230,0,0,0
mw02,319,"250",Clay,579320,0,0,1
mw02,439,"250",Clay,579320,0,0,1
mw02,6116,"250",Hard,756020,0,0,1
mw02,8994,"250",Grass,932135,0,0,0
mw02,741,"250",Grass,740160,0,0,0
mw02,500,"500",Grass,2255655,0,1,0
mw02,311,"500",Grass,2255655,0,0,0
mw02,322,"250",Clay,579320,0,0,1
mw02,7694,"250",Clay,579320,0,0,1
mc65,4787,"250",Hard,750000,0,0,1
mc65,341,"250",Hard,579320,0,0,1
mc65,328,"500",Hard,2385100,0,0,1
mc65,337,"500",Hard,2470310,0,1,1
mc65,329,"500",Hard,1818380,0,0,0
mc65,747,"500",Hard,3720165,0,1,0
mc65,6242,"250",Hard,779780,0,0,1
mc65,418,"500",Hard,2100230,0,0,0
